,ciudad,cliente,cluster,recomendados
3,TUNJA,40037217,3401.0,CHAQUETA
4,TUNJA,40037217,3401.0,CAÑA CORTA
0,TUNJA,40038992,3401.0,CARGADERA
1,TUNJA,40038992,3401.0,CORBATA
2,TUNJA,40038992,3401.0,OVERALL LARGO
3,TUNJA,40038992,3401.0,SHORT
4,TUNJA,40038992,3401.0,TENIS
0,TUNJA,40040434,3401.0,CAMISETA MANGA CORTA
1,TUNJA,40040434,3401.0,CHAQUETA
2,TUNJA,40040434,3401.0,TENIS
0,TUNJA,40040444,3401.0,CHAQUETA
0,TUNJA,40043704,3401.0,CHAQUETA
1,TUNJA,40043704,3401.0,CAMISA MANGA LARGA
2,TUNJA,40043704,3401.0,BALETA
3,TUNJA,40043704,3401.0,CAMISA MANGA CORTA
4,TUNJA,40043704,3401.0,CAMISETA POLO
0,TUNJA,40047476,3401.0,CAMISETA MANGA LARGA
1,TUNJA,40047476,3401.0,CAMISETA POLO
2,TUNJA,40047476,3401.0,CAÑA CORTA
3,TUNJA,40047476,3401.0,DENIM
4,TUNJA,40047476,3401.0,PANTALON
0,TUNJA,40047947,3401.0,SUDADERA
1,TUNJA,40047947,3401.0,TENIS
0,TUNJA,40048716,3401.0,DENIM
1,TUNJA,40048716,3401.0,TENIS
2,TUNJA,40048716,3401.0,BOTAS
3,TUNJA,40048716,3401.0,OVERALL LARGO
4,TUNJA,40048716,3401.0,CAÑA CORTA
0,TUNJA,40048744,3401.0,CAMISA MANGA CORTA
1,TUNJA,40048744,3401.0,CONJUNTO CORTO
2,TUNJA,40048744,3401.0,VESTIDO MANGA LARGA
3,TUNJA,40048744,3401.0,BUZO
4,TUNJA,40048744,3401.0,BOTAS
0,TUNJA,40048762,3401.0,SUDADERA
1,TUNJA,40048762,3401.0,CAMISA MANGA CORTA
2,TUNJA,40048762,3401.0,CAMISA MANGA LARGA
3,TUNJA,40048762,3401.0,VESTIDO MANGA CORTA
4,TUNJA,40048762,3401.0,BUZO
0,TUNJA,40049047,3401.0,CAMISETA MANGA CORTA
1,TUNJA,40049047,3401.0,CAMISA MANGA CORTA
2,TUNJA,40049047,3401.0,CHAQUETA
3,TUNJA,40049047,3401.0,JUGUETE
4,TUNJA,40049047,3401.0,OVERALL LARGO
36,TUNJA,40050411,3401.0,CAMISETA MANGA CORTA
61,TUNJA,40050411,3401.0,DENIM
138,TUNJA,40050411,3401.0,TENIS
98,TUNJA,40050411,3401.0,PANTALON
31,TUNJA,40050411,3401.0,CAMISA MANGA LARGA
0,TUNJA,40055267,3401.0,PANTALONETA
1,TUNJA,40055267,3401.0,CUIDADO PERSONAL
2,TUNJA,40055267,3401.0,CAMISETA POLO
3,TUNJA,40055267,3401.0,SUDADERA
4,TUNJA,40055267,3401.0,PANTALON
0,TUNJA,40056221,3401.0,BODY MANGA CORTA
1,TUNJA,40056221,3401.0,CAMISETA MANGA CORTA
2,TUNJA,40056221,3401.0,CAMISETA MANGA LARGA
3,TUNJA,40056221,3401.0,CUIDADO PERSONAL
4,TUNJA,40056221,3401.0,RELOJ
0,TUNJA,40061877,3401.0,CAMISA MANGA LARGA
1,TUNJA,40061877,3401.0,CAMISA MANGA CORTA
2,TUNJA,40061877,3401.0,BOXER
3,TUNJA,40061877,3401.0,SUDADERA
4,TUNJA,40061877,3401.0,BUZO
0,TUNJA,40068776,3401.0,TENIS
1,TUNJA,40068776,3401.0,DENIM
2,TUNJA,40068776,3401.0,CAMISETA MANGA LARGA
3,TUNJA,40068776,3401.0,BOTAS
4,TUNJA,40068776,3401.0,PANTALON
0,TUNJA,40078375,3401.0,CAMISETA MANGA CORTA
1,TUNJA,40078375,3401.0,DENIM
